#size: 500 5
#stance_hip, swing_hip, stance_knee, swing_knee,torso_angle
19.74244023,-11.50510794,14.27479819,22.67335024,11.25179419
19.75039018,-11.54925675,14.41656962,22.74355083,11.2392588
19.75834013,-11.59340556,14.55834104,22.81375141,11.2267234
19.76629008,-11.63755436,14.70011247,22.88395199,11.21418801
19.7741778,-11.68129305,14.84189768,22.95491094,11.20169544
19.78157604,-11.72217567,14.98369302,23.03117222,11.18943386
19.78831447,-11.76029357,15.12499858,23.11261489,11.17737417
19.79497276,-11.79815608,15.26620121,23.19450901,11.16533796
19.80155983,-11.8354806,15.40743858,23.27739421,11.1533579
19.80786421,-11.87164303,15.54852065,23.36233292,11.14147242
19.81347504,-11.90443406,15.68919304,23.45346752,11.12983397
19.81853561,-11.93557607,15.82916686,23.54758018,11.11832007
19.82348163,-11.96615,15.96906712,23.64271763,11.10686457
19.82817554,-11.99593919,16.10873478,23.73918814,11.09547993
19.83231998,-12.02337994,16.24787246,23.83982295,11.08425472
19.83578816,-12.0481142,16.38641659,23.94532872,11.07323257
19.83884939,-12.07182098,16.52436993,24.05264937,11.06229433
19.84148259,-12.09426205,16.66175715,24.16209384,11.05146564
19.84380006,-12.11563049,16.79872638,24.27337153,11.04069507
19.84543149,-12.13401921,16.9350565,24.38991146,11.03016531
19.84646047,-12.15063861,17.07063757,24.50950213,11.01976366
19.84682226,-12.16562316,17.20518252,24.63182383,11.00948474
19.84690201,-12.1798601,17.33926863,24.75539202,10.99925161
19.84646195,-12.1918076,17.47278517,24.88289503,10.98920173
19.84514101,-12.20102763,17.60510726,25.01500621,10.97935189
19.84320598,-12.20866399,17.73657093,25.14973354,10.9696206
19.84075266,-12.21514108,17.86713189,25.28638294,10.95997404
19.83781875,-12.21990697,17.99697133,25.42586126,10.95043196
19.83407664,-12.2219968,18.12563221,25.56979617,10.94111782
19.82957999,-12.22199044,18.25329582,25.71713581,10.93195094
19.8244293,-12.22030951,18.37983735,25.86720013,10.9229163
19.81875629,-12.21737423,18.50539693,26.01928679,10.9139443
19.8124558,-12.21228907,18.63007891,26.17485739,10.90515019
19.80515526,-12.20442799,18.75315854,26.33486766,10.89656706
19.79715839,-12.19452841,18.87514263,26.49810648,10.8881445
19.78874941,-12.18374212,18.9963214,26.66277136,10.87977346
19.77958027,-12.17096261,19.11620596,26.83055494,10.87153941
19.7693373,-12.15494964,19.23430155,27.00339475,10.86356784
19.75838099,-12.13708778,19.35118101,27.17910741,10.85572681
19.74709727,-12.11826898,19.46754215,27.35630771,10.84797671
19.73487775,-12.09714858,19.58210315,27.53702937,10.84037798
19.7216483,-12.07300733,19.69494955,27.72235036,10.83302979
19.70774799,-12.04726933,19.80654261,27.91011175,10.82578473
19.6932834,-12.0200354,19.91716672,28.10010286,10.81865325
19.67805876,-11.99065073,20.02635874,28.29326855,10.8117118
19.66186217,-11.95862654,20.13374811,28.49039536,10.80497925
19.64494968,-11.9246801,20.23979506,28.69041165,10.79838632
19.62729754,-11.88888382,20.34432533,28.89306027,10.79192391
19.60882527,-11.85107499,20.44743028,29.09857614,10.7856342
19.58973938,-11.8113849,20.5493785,29.30684246,10.77951955
19.56975826,-11.76899605,20.64950718,29.51903871,10.77361851
19.54902929,-11.72485352,20.74805243,29.73370258,10.7678412
19.52741644,-11.67872723,20.84493614,29.95107708,10.76222901
19.50511611,-11.63054624,20.94049757,30.17131508,10.75679946
19.4822896,-11.58069616,21.03502422,30.39387229,10.75152008
19.45848512,-11.52810908,21.12742899,30.62030605,10.74647626
19.43387297,-11.47372282,21.21815555,30.84909241,10.74156735
19.40849164,-11.41725089,21.30730761,31.08060272,10.73684439
19.38256742,-11.35921226,21.3954392,31.31427547,10.73228104
19.3559229,-11.29907753,21.48205701,31.55070863,10.72789018
19.32834279,-11.23638332,21.5664563,31.79049052,10.72373327
19.30011708,-11.17202591,21.64952398,32.03240088,10.71972755
19.27116786,-11.10572286,21.7311195,32.27685037,10.71590954
19.24159288,-11.037607,21.81136176,32.5234729,10.71226346
19.21120051,-10.96730618,21.88974224,32.77284077,10.70881266
19.18028288,-10.89540537,21.96688416,33.02428564,10.70551057
19.14856502,-10.82118561,22.04222536,33.27854238,10.70246237
19.1161439,-10.74514817,22.11602812,33.53489514,10.69959095
19.08304808,-10.66722094,22.18833155,33.79348402,10.69689241
19.04940672,-10.58777255,22.25932607,34.05393412,10.69433593
19.01513772,-10.5063019,22.32871687,34.31657827,10.69200781
18.98021106,-10.42289438,22.39661885,34.58158075,10.68990648
18.94450143,-10.33746211,22.46276166,34.84882667,10.6879873
18.90821578,-10.25034162,22.5274622,35.11772652,10.68625866
18.8715374,-10.16194204,22.5911202,35.38805353,10.68465651
18.83425715,-10.07166121,22.65332025,35.6605947,10.6832853
18.79622743,-9.979235284,22.71369146,35.93524664,10.68215491
18.75747876,-9.884758727,22.77226867,36.21179316,10.6812528
18.71846902,-9.789488639,22.83019649,36.48925579,10.68042954
18.67897665,-9.692471503,22.88680757,36.76864561,10.67981688
18.63877798,-9.593402489,22.94152225,37.04964624,10.67948184
18.59798271,-9.492659367,22.99480139,37.33217399,10.67931902
18.55669037,-9.390346041,23.0468253,37.61643965,10.67934
18.51518251,-9.287122089,23.09811877,37.90129896,10.67949048
18.4729753,-9.181584186,23.14739643,38.18807548,10.67996146
18.43024616,-9.074713261,23.19544024,38.47602492,10.68057555
18.38708102,-8.96651688,23.24230188,38.76487449,10.68135563
18.34353372,-8.856814722,23.28800687,39.05512344,10.68234424
18.29958682,-8.745646217,23.33245359,39.34628115,10.68354943
18.25511479,-8.63280796,23.37542991,39.63877446,10.68498552
18.21027022,-8.518942872,23.41738013,39.9316368,10.68654908
18.16496697,-8.403703269,23.45805583,40.22553077,10.6882903
18.11929127,-8.286789825,23.49746433,40.52065529,10.69029178
18.07335518,-8.168822193,23.535956,40.81601758,10.6924889
18.02695513,-8.049440216,23.57315596,41.11246317,10.69485963
17.98013971,-7.928939812,23.60913693,41.40918281,10.69737905
17.93298401,-7.807059384,23.64393586,41.70645293,10.70014305
17.88562356,-7.684117052,23.6779457,42.00429277,10.70308059
17.83790812,-7.559969912,23.71091398,42.30286755,10.70620466
17.78978528,-7.43451344,23.74248232,42.60143247,10.70952542
17.74130927,-7.307996848,23.77293133,42.90013062,10.71303319
17.69266044,-7.18037092,23.80265875,43.19956613,10.71673772
17.64373653,-7.05186508,23.83146453,43.49894113,10.72058086
17.59451198,-6.922143088,23.85914304,43.79828971,10.7246477
17.54493684,-6.791366529,23.88564919,44.09773337,10.72888795
17.49514982,-6.659506948,23.91132408,44.39757425,10.73332981
17.44523223,-6.52695026,23.93630627,44.69663053,10.73793377
17.39497119,-6.393363721,23.9602189,44.99607581,10.74268781
17.34448834,-6.258927967,23.98323197,45.29524574,10.74761124
