#size: 500 5
#stance_hip, swing_hip, stance_knee, swing_knee,torso_angle
28.60590296,-13.46407419,26.16794411,12.66572788,18.22557581
28.58074896,-13.50909002,26.26616413,12.71521815,18.21316816
28.55559496,-13.55410586,26.36438416,12.76470842,18.2007605
28.53044096,-13.59912169,26.46260419,12.81419869,18.18835284
28.50527737,-13.64410492,26.56080813,12.86374665,18.17594626
28.47894462,-13.68620909,26.65731197,12.91854359,18.16333702
28.45171582,-13.72642354,26.75229583,12.9767779,18.15058033
28.42448701,-13.766638,26.84727969,13.03501221,18.13782364
28.3972355,-13.80678249,26.94222401,13.09336839,18.12506817
28.36942862,-13.84549988,27.03636684,13.15425627,18.11222909
28.34021322,-13.88092808,27.12814516,13.22101913,18.09915965
28.31076051,-13.91596001,27.21944402,13.2884694,18.08606373
28.28126904,-13.95088024,27.31067375,13.35611124,18.07296836
28.25150254,-13.98518644,27.40149456,13.42480573,18.05982938
28.22049667,-14.01621919,27.49025139,13.49922484,18.04652698
28.18877855,-14.04587657,27.57764762,13.57602635,18.03311354
28.1569097,-14.07519512,27.66474547,13.65339786,18.01969531
28.12483653,-14.10415687,27.75150557,13.73135619,18.00624473
28.09192592,-14.13075846,27.83686734,13.81335293,17.99270679
28.05804243,-14.15507261,27.92042306,13.89925276,17.97903441
28.02373763,-14.17855845,28.0031381,13.98653994,17.96532069
27.9892348,-14.20169101,28.08549625,14.07439681,17.95157914
27.95411616,-14.22322331,28.16678501,14.16491806,17.93777872
27.9180998,-14.24227228,28.24639592,14.25959395,17.9239156
27.88134143,-14.25973458,28.32456585,14.35690254,17.90994009
27.84432058,-14.27673021,28.4022236,14.45496065,17.89593986
27.80691802,-14.29277578,28.47920786,14.55456541,17.88190937
27.76851678,-14.30609081,28.55425175,14.65860609,17.86783232
27.72939545,-14.31758644,28.62790541,14.76563343,17.85367913
27.68981062,-14.32820081,28.70064305,14.87407899,17.83945852
27.64988089,-14.33806311,28.77271927,14.98371057,17.82522029
27.60910698,-14.34549696,28.84313384,15.09720638,17.81095236
27.56759361,-14.35096886,28.91207815,15.21384776,17.79667014
27.52549025,-14.35509182,28.97984191,15.3326347,17.78229159
27.48297377,-14.35840082,29.04677909,15.4526926,17.76788793
27.43980397,-14.35978011,29.11240933,15.57576347,17.75347425
27.39578492,-14.35883501,29.17628182,15.70244066,17.73906913
27.35119506,-14.35645371,29.23899025,15.83137464,17.72462074
27.30607577,-14.35290521,29.30063011,15.96212456,17.71010302
27.26050359,-14.34804059,29.3613557,16.09490398,17.6955903
27.21389556,-14.34031791,29.41985696,16.23197983,17.68109738
27.166771,-14.33125418,29.47729712,16.37113814,17.66660931
27.11917286,-14.32094385,29.5337322,16.51220232,17.65206887
27.07097656,-14.30906524,29.58893433,16.65564637,17.63751189
27.02199125,-14.29490117,29.64242046,16.80245983,17.6229805
26.97236358,-14.27897219,29.69450777,16.95191021,17.6084948
26.9222279,-14.2616824,29.74549551,17.10340493,17.59399854
26.87148439,-14.24270346,29.79518871,17.25742229,17.57946378
26.82010863,-14.22179694,29.84348831,17.4142567,17.56496816
26.76798959,-14.19883858,29.89011759,17.57403749,17.55052508
26.71531048,-14.174362,29.93551316,17.73606156,17.53611219
26.66214039,-14.1483545,29.97979615,17.90031405,17.52169775
26.60844067,-14.12070636,30.02292918,18.06698332,17.50728731
26.55381777,-14.09041815,30.06391839,18.23731629,17.49295797
26.49875095,-14.05891717,30.10391502,18.40942284,17.47867507
26.44311915,-14.02563529,30.14260081,18.58407115,17.46443816
26.38704407,-13.99083527,30.18025239,18.76090521,17.45020719
26.33014653,-13.95361027,30.21599343,18.94106397,17.43604857
26.27265428,-13.91459955,30.25032548,19.12372254,17.42197076
26.21471017,-13.87421694,30.28360408,19.30830741,17.40794387
26.15635172,-13.83237025,30.31585143,19.4949205,17.39397095
26.09728945,-13.78827062,30.34644995,19.68464374,17.38004692
26.0374411,-13.74167471,30.37510615,19.87770998,17.36624224
25.9772912,-13.69418823,30.40305669,20.07202563,17.35249065
25.91665163,-13.64506368,30.4297813,20.26855214,17.33882349
25.85553883,-13.59417663,30.4553219,20.46747651,17.32521913
25.79350065,-13.54025168,30.47854005,20.67037878,17.31174338
25.73114107,-13.48525046,30.50096087,20.87475957,17.29835364
25.66836171,-13.42888134,30.52230792,21.08092581,17.28504737
