#size: 500 4
#hip stance, hip swing, knee stance, knee swing
22.37574744,-14.86082028,9.934029115,23.72058157
22.38000459,-14.82078596,10.13120626,23.9632011
22.38416902,-14.78066266,10.32811022,24.20579079
22.38812743,-14.73946143,10.52541581,24.44959746
22.39163802,-14.69531265,10.72398789,24.69700763
22.39447935,-14.6475154,10.92366102,24.94889416
22.39675601,-14.59672815,11.12402082,25.20438414
22.39852356,-14.54353064,11.32475943,25.46269616
22.39968486,-14.48760288,11.52568447,25.72425459
22.4001109,-14.42853172,11.72672447,25.9895268
22.39983242,-14.36674654,11.92768182,26.25791886
22.39887171,-14.30203629,12.1285689,26.52971761
22.39707156,-14.23436262,12.32897573,26.80489212
22.39442102,-14.16406352,12.52864988,27.08302702
22.39096825,-14.09112313,12.7276855,27.36414266
22.38674077,-14.01543824,12.92614834,27.64833335
22.38159703,-13.93699681,13.12363733,27.93554752
22.37533823,-13.85571897,13.31960198,28.22581643
22.36824212,-13.77193105,13.5145408,28.51881566
22.36023628,-13.68556464,13.70834631,28.81454957
22.35119247,-13.59659744,13.90064702,29.11297938
22.34111285,-13.50504826,14.09137422,29.4140958
22.32989497,-13.41082647,14.28029481,29.71793592
22.31768019,-13.31423132,14.46761716,30.02413902
22.30453277,-13.21548861,14.65341999,30.332433
22.29010704,-13.11408601,14.83700093,30.64327745
22.27454341,-13.01022659,15.01855174,30.95649872
22.25792801,-12.90408819,15.19822479,31.27184025
22.24011834,-12.79559472,15.37573189,31.58925807
22.22113878,-12.68481279,15.55106941,31.90870355
22.20097368,-12.57185404,15.72410856,32.23005798
22.179628,-12.45672659,15.89486556,32.5532407
22.15716909,-12.33951687,16.0634768,32.87808242
22.13344993,-12.22012363,16.22959121,33.20458965
22.10846568,-12.09861343,16.39314954,33.53275402
22.08226917,-11.97507479,16.55424065,33.86244655
22.05483647,-11.84949741,16.71282744,34.19351221
22.02626985,-11.72210599,16.86909117,34.5257612
21.99644184,-11.5927905,17.02273083,34.85927881
21.96530381,-11.46156871,17.17361342,35.19395353
21.93291887,-11.32850803,17.32183623,35.52963844
21.89932535,-11.19360065,17.46751522,35.86634805
21.86445405,-11.05691849,17.61047218,36.20388544
21.82831678,-10.9185156,17.75068826,36.54220904
21.79101643,-10.7786213,17.88837048,36.88108014
21.75243786,-10.63707791,18.02327722,37.22051487
21.71259364,-10.49385212,18.15542608,37.56055052
21.67144664,-10.3489311,18.28472385,37.90116241
21.6290645,-10.20259291,18.41127498,38.24195524
21.58553332,-10.05496661,18.5352465,38.58274359
21.54079603,-9.905863021,18.65654672,38.92379778
21.4947217,-9.755162835,18.77487786,39.26515483
21.44730918,-9.603047226,18.89021548,39.60640227
21.39878005,-9.449837754,19.00299123,39.94725643
21.34923827,-9.295498704,19.11346434,40.28799133
21.29835283,-9.139721748,19.22093285,40.62861906
21.24604615,-8.982522336,19.32516357,40.96885007
21.19250599,-8.824199194,19.42655106,41.30841676
21.13804902,-8.665006507,19.5258224,41.64752865
21.082492,-8.504775446,19.62256802,41.98612958
21.02562462,-8.343358981,19.71628264,42.32397203
20.96737407,-8.180760762,19.80680478,42.66083765
20.90798784,-8.01715051,19.89470643,42.99693562
20.84763119,-7.852723905,19.98033717,43.33227679
20.78621594,-7.687514216,20.06345982,43.66652781
20.72350095,-7.521323568,20.1435409,43.99948527
20.65954373,-7.354163365,20.22073723,44.3312308
20.59456495,-7.186197042,20.2955122,44.66190027
20.52855059,-7.017507056,20.36781629,44.99131546
20.46150122,-6.848173914,20.43764549,45.3192917
20.39321759,-6.678036973,20.50457002,45.64557111
20.32378721,-6.507107382,20.56877933,45.97034747
20.25333825,-6.335545925,20.63053351,46.29360777
20.18196039,-6.163470681,20.69000862,46.61524466
20.10958295,-5.990871286,20.74706999,46.93513671
20.03603026,-5.817602826,20.80133672,47.25301454
19.96135634,-5.643672488,20.85290086,47.56898894
19.88576095,-5.469299593,20.90219742,47.88321092
19.80925488,-5.294576188,20.94925123,48.19536817
19.73182361,-5.119437798,20.99401687,48.50547575
19.65336408,-4.943822087,21.03625714,48.81336102
19.57380172,-4.767718495,21.07581006,49.11889956
19.49327307,-4.591245913,21.1129904,49.42225317
19.4119648,-4.414551389,21.14819323,49.72344765
19.32983328,-4.237604166,21.18129526,50.02233915
19.24673363,-4.060346738,21.21197048,50.31863761
19.16262773,-3.882785346,21.24013747,50.61223844
19.07762221,-3.70496799,21.26602676,50.90339213
18.9918448,-3.527030258,21.28989351,51.19198556
18.9053539,-3.349008625,21.31185061,51.47807093
18.81807347,-3.170873634,21.33170763,51.76143683
18.72989435,-2.992626608,21.34922943,52.04176082
18.64087832,-2.814254193,21.3645567,52.31925771
18.5511095,-2.635844989,21.37788154,52.5939365
18.4606931,-2.457475993,21.38941684,52.86582757
18.36957015,-2.279129998,21.39897919,53.1347623
18.27771977,-2.10085344,21.406506,53.40053674
18.18514982,-1.922620502,21.41204831,53.66332994
18.09188834,-1.744485201,21.41567261,53.92293855
17.99803385,-1.566509536,21.41755683,54.17939023
17.90357588,-1.388695243,21.41762264,54.43266485
17.80851367,-1.211073563,21.41588747,54.68277579
17.7127936,-1.033649804,21.41224143,54.92953056
17.61650692,-0.856465418,21.40689496,55.17293484
17.51971313,-0.679546892,21.39996121,55.4131171
17.42238096,-0.502908073,21.39134046,55.64990584
17.32450529,-0.326556442,21.38099791,55.88315971
17.22608244,-0.150492235,21.36897584,56.1129888
17.12706773,0.025486002,21.35545206,56.33987792
17.02725984,0.201888367,21.34054818,56.56483843
16.9266802,0.378739834,21.32433291,56.78780607
16.82533087,0.556055614,21.30682327,57.00859093
16.72308734,0.733850318,21.28777045,57.22695386
16.62002411,0.912092879,21.26734058,57.44323933
16.51612925,1.090747087,21.24548014,57.65718867
16.41143483,1.269819755,21.22228225,57.86872688
16.30588837,1.449346065,21.19767424,58.0775869
16.19947837,1.629341145,21.17167187,58.28405945
16.09220766,1.809844393,21.14430157,58.48807085
15.98402804,1.990867482,21.11551447,58.68935509
15.87488145,2.172403497,21.08520724,58.88769495
15.76482648,2.354434436,21.05350026,59.08336914
15.65397271,2.536940068,21.02061256,59.27654068
15.54227634,2.719874756,20.98639244,59.46675045
15.42966992,2.903170393,20.95065457,59.65353673
15.31618082,3.086749257,20.91343013,59.83678836
15.20191781,3.270563453,20.87488437,60.01651166
15.08698388,3.454608284,20.83522348,60.19312837
14.97125512,3.638751789,20.79409432,60.36578481
14.85477798,3.82297184,20.75156326,60.53458537
14.73770283,4.007163652,20.70790654,60.69957011
14.61996517,4.191260826,20.66288953,60.8600722
14.50160222,4.375190182,20.61653989,61.01630128
14.38273319,4.558898735,20.56906236,61.16838896
14.26339275,4.742301516,20.52045064,61.31610336
14.14357712,4.925338972,20.47068222,61.4594747
14.02333917,5.107876238,20.4197491,61.59789491
13.90274311,5.289876902,20.36774459,61.73156443
13.78180496,5.471282026,20.31464734,61.86040882
13.66056277,5.651973415,20.26046696,61.98408012
13.53910827,5.831946998,20.20537851,62.1031828
13.41749904,6.011188319,20.14945212,62.21782371
13.29574189,6.189530159,20.0926236,62.32719614
13.17379112,6.366901546,20.03474852,62.43102582
13.05174621,6.543340111,19.97605444,62.53001734
12.92962595,6.718804775,19.91653779,62.62404271
12.80747347,6.893281168,19.85625166,62.71327009
12.68536678,7.066717781,19.79534195,62.797871
12.56326518,7.238965538,19.73365388,62.87710528
12.44120905,7.410002627,19.67122861,62.95108109
12.31922346,7.579927031,19.60814327,63.02052565
12.19736386,7.748688892,19.54449018,63.08534148
12.07564717,7.916177511,19.48027566,63.14518779
11.9540455,8.082371627,19.41541804,63.20007185
11.83259817,8.247325974,19.34999758,63.2503924
11.71138439,8.411093223,19.28419476,63.29674449
11.59037627,8.5735443,19.21790572,63.33842785
11.46958466,8.734668868,19.15115309,63.37549602
11.34899383,8.8944412,19.08388624,63.40800958
11.22859293,9.052946326,19.01613069,63.43631926
11.10843997,9.210247068,18.94804264,63.46078476
10.98852296,9.366259169,18.879582,63.48090353
10.86878699,9.521098383,18.81071833,63.49725248
10.74920373,9.674779718,18.7414186,63.50977804
10.62976516,9.827225806,18.67165872,63.5180242
10.51048435,9.978575484,18.60154229,63.52256697
10.39112276,10.1291073,18.53093466,63.52329133
10.27127083,10.27935067,18.45961365,63.52015179
10.15093177,10.42933536,18.38763683,63.51319128
10.03010101,10.57911562,18.31503879,63.50260145
9.908738009,10.72872261,18.24177971,63.48820023
9.786824885,10.87814002,18.16782374,63.46988095
9.664348102,11.02730133,18.09317516,63.44731888
9.541307888,11.1762814,18.01784711,63.42092144
9.417724749,11.32502902,17.94185714,63.39035577
9.293632044,11.47360084,17.86531743,63.35596612
9.168996962,11.62200173,17.78816417,63.31773698
9.043789122,11.77012155,17.71029995,63.27506536
8.918028055,11.91794667,17.63178435,63.22809894
8.791764121,12.06547772,17.55271129,63.17699278
8.665009145,12.21275971,17.47310911,63.12182582
8.537764631,12.35982415,17.39299447,63.06279864
8.410033202,12.50648529,17.31232491,62.99918134
8.281842964,12.65270693,17.23112216,62.93100034
8.153242606,12.79850519,17.14948595,62.8583813
8.024237872,12.94393318,17.06743266,62.78169688
7.89482191,13.0889567,16.98493588,62.70095122
7.765055878,13.23341586,16.90205904,62.61559324
7.634938087,13.37737463,16.81880441,62.52593409
7.504515417,13.52076769,16.73524922,62.43184015
7.373839554,13.66354446,16.65147342,62.33336878
7.242897624,13.80577024,16.56744023,62.23072642
7.111691999,13.94735812,16.48312713,62.12380654
6.980305662,14.08819225,16.39866055,62.01234563
6.848767218,14.22836346,16.31408677,61.89689539
6.717101942,14.36773365,16.22941323,61.77698541
6.58534657,14.50628163,16.14469517,61.65268971
6.453537669,14.64401961,16.06000216,61.52428663
6.321691509,14.78096695,15.97532399,61.39202306
6.189840748,14.91703956,15.89070284,61.25572818
6.058035977,15.05208858,15.80618863,61.11509519
5.926289776,15.18620376,15.72179804,60.97060074
5.79465562,15.31934578,15.63761745,60.82217788
5.663190022,15.45148233,15.55371888,60.6700512
5.531902783,15.58258421,15.47009186,60.5141636
5.400826208,15.71252036,15.38676897,60.35431659
5.270010842,15.84132451,15.30381984,60.19082436
5.139458384,15.96907825,15.22124016,60.02406828
5.009228616,16.09569101,15.13910252,59.85387153
4.87937955,16.22097883,15.05746982,59.67992825
4.749928166,16.34504742,14.97637389,59.50274228
4.620874344,16.46795224,14.89579147,59.3225591
4.492253402,16.58950099,14.81575226,59.13899529
4.364117598,16.70979448,14.73633416,58.95249088
4.236499547,16.82888313,14.65758232,58.76335093
4.109453395,16.94651778,14.57955584,58.57111948
3.982951561,17.06282491,14.50217831,58.37613281
3.857021057,17.17785558,14.42547954,58.17865443
3.731760284,17.2914381,14.34962623,57.97839813
3.607165439,17.40358217,14.27457723,57.77561763
3.483188218,17.51444846,14.20022515,57.57083713
3.359922593,17.62392569,14.12672784,57.3637822
3.237395811,17.73198211,14.05410278,57.15449185
3.115635701,17.83852425,13.9823862,56.94298697
2.994552997,17.9437946,13.91139363,56.72991668
2.874238626,18.04776459,13.84127282,56.51525052
2.754786993,18.15021169,13.77218132,56.29861349
2.636115833,18.25126177,13.70394206,56.08030099
2.518254035,18.35095953,13.63660496,55.86051801
2.401192356,18.44928313,13.57013927,55.63928516
2.284939694,18.54632155,13.50458381,55.41685304
2.169504244,18.64200537,13.43993056,55.19311002
2.054915505,18.73624707,13.37623199,54.96791466
1.94112929,18.82931035,13.3134041,54.74183446
1.828132141,18.92124223,13.25143703,54.51496504
1.715923079,19.01185206,13.19035332,54.28687277
1.604490833,19.10112935,13.13014075,54.0575555
1.493839638,19.18922809,13.07081718,53.82730453
1.383942339,19.27628659,13.01233481,53.59638915
1.274770349,19.36222327,12.95465737,53.36465057
1.166289616,19.44704611,12.89775245,53.13206586
1.058521546,19.53074132,12.84167596,52.89860805
0.95146416,19.61339161,12.78643828,52.66435478
0.845059052,19.69507348,12.73194672,52.42936245
0.739309566,19.77578609,12.67821542,52.19370161
0.63418583,19.85549503,12.62521861,51.95732826
0.529690558,19.93426501,12.57296432,51.72031896
0.42581784,20.01211536,12.52145607,51.48264942
0.322525135,20.08912529,12.470619,51.24441431
0.21981263,20.16527034,12.42047785,51.00561755
0.117653301,20.24057007,12.37101014,50.76629987
0.016021439,20.31508041,12.32222018,50.52636857
-0.085454008,20.38904178,12.27394776,50.28481028
-0.186909209,20.462565,12.22607556,50.04149585
-0.288331685,20.53556806,12.17864849,49.79631264
-0.38970698,20.6080296,12.13170992,49.54915828
-0.491036103,20.67996755,12.08526575,49.3000396
-0.592347253,20.75145921,12.03926687,49.04909341
-0.693657987,20.8224378,11.99370239,48.79616658
-0.794978033,20.8929145,11.94857544,48.54127334
-0.896308628,20.96288545,11.90389391,48.28436665
-0.99762709,21.0323541,11.8596982,48.02543456
-1.098935559,21.10125983,11.81599137,47.76435613
-1.200264399,21.16962006,11.77273391,47.50116783
-1.301625396,21.23747052,11.72991542,47.23590579
-1.403008101,21.30480232,11.68756779,46.96861112
-1.504384113,21.37156888,11.64574679,46.69909243
-1.60578025,21.43775258,11.60439742,46.42734691
-1.70721574,21.50341294,11.56348217,46.15353286
-1.80865331,21.56839008,11.52309446,45.8773617
-1.910104926,21.63273364,11.48321376,45.59895701
-2.011541105,21.69650403,11.44388674,45.3183956
-2.112965295,21.7596655,11.40510962,45.03560969
-2.214427572,21.82216718,11.36678459,44.75048799
-2.315908654,21.88393144,11.32896135,44.46294552
-2.417373203,21.94496862,11.29171968,44.17309054
-2.518805231,22.00537375,11.25507892,43.88103082
-2.620196681,22.06504902,11.21905491,43.58659154
-2.721590863,22.12391079,11.18357822,43.28965122
-2.823003166,22.18202807,11.14860792,42.99037262
-2.924382002,22.23936594,11.1142457,42.68869759
-3.025705923,22.29586065,11.08053957,42.38454674
-3.126965716,22.35156273,11.04750679,42.0781115
-3.228169367,22.40638712,11.01512218,41.76916617
-3.329362965,22.46026008,10.98329543,41.45758728
-3.430519578,22.51335365,10.95208256,41.14378684
-3.531560513,22.56551238,10.92165282,40.82752226
