#size: 500 4
#hip stance, hip swing, knee stance, knee swing
34.44298809,-13.94699434,1.411280973,6.996784263
34.44878138,-13.94852912,1.446275272,7.02191725
34.45716815,-13.95067849,1.497408829,7.058786071
34.46795557,-13.95334456,1.563819808,7.106869773
34.48095741,-13.95643221,1.644677342,7.16567112
34.49599373,-13.95984892,1.739180304,7.234715905
34.51289064,-13.96350454,1.846556106,7.313552279
34.53148003,-13.96731117,1.966059546,7.401750102
34.55159933,-13.97118295,2.096971683,7.498900314
34.57309127,-13.97503592,2.23859876,7.604614321
34.59580363,-13.97878785,2.390271152,7.718523397
34.6195891,-13.98235805,2.551342368,7.840278106
34.64430501,-13.98566725,2.721188084,7.969547726
34.6698132,-13.98863746,2.899205221,8.106019693
34.69597984,-13.99119176,3.084811066,8.249399053
34.72267525,-13.99325424,3.277442434,8.399407923
34.74977382,-13.99474981,3.476554881,8.555784959
34.77715384,-13.99560408,3.681621961,8.718284827
34.8046974,-13.99574327,3.892134528,8.886677688
34.83229034,-13.99509407,4.1076001,9.060748679
34.85982213,-13.99358354,4.327542256,9.240297401
34.88718585,-13.99113899,4.551500104,9.425137408
34.91427813,-13.98768795,4.779027789,9.615095701
34.94099911,-13.98315802,5.009694063,9.810012223
34.96725248,-13.97747687,5.243081901,10.00973935
34.99294543,-13.97057213,5.47878818,10.21414139
35.0179887,-13.96237136,5.716423403,10.42309408
35.0422966,-13.95280202,5.955611485,10.63648409
35.06578705,-13.94179144,6.195989575,10.8542085
35.08838166,-13.92926681,6.437207944,11.07617432
35.11000573,-13.91515519,6.678929908,11.30229801
35.13058838,-13.8993835,6.920831792,11.53250495
35.1500626,-13.88187854,7.162602947,11.76672896
35.16836531,-13.86256707,7.403945784,12.00491181
35.18543746,-13.84137581,7.644575856,12.24700276
35.20122409,-13.81823155,7.884221954,12.49295805
35.21567442,-13.79306115,8.122626227,12.74274042
35.22874192,-13.76579171,8.359544323,12.99631868
35.24038435,-13.7363506,8.594745529,13.25366722
35.25056384,-13.70466559,8.828012925,13.51476554
